first_name,regular_price,second_name,special_price
Klapki AMERICANOS,109.99,WP40-AM1 Black,
Espadryle TOMMY JEANS,359.00,Tie Dye Espadrille EN0EN01888 Tie Dye 0K8,249.00
Sandały CLARA BARSON,89.99,WSS20501-03 Navy,
Sneakersy HI-TEC,149.00,Hongur Wo's AVSSS21-HT-01 Powder Pink,119.00
Klapki IPANEMA,89.00,Renda II Fem 83243 Black/Black 20880,
Sneakersy KEDDO,249.00,827115/03-01E Black,169.00
Espadryle GEOX,479.00,D Ponza A D02GVA 00007 C9352 Black/Biscuit,239.00
Klapki REFRESH,179.00,79386 Amarillo,119.00
Klapki CROCS,119.00,Classic Crocs Slide 206121 Ice Blue,89.00
Buty MERRELL,649.00,Long Sky Sewn J003246 Black,439.00
Trekkingi SALOMON,569.00,Outsnap Cswp W 414414 20 V0 Mocha Mousse/Vanilia Ice/Black,399.00
Sandały REFRESH,199.00,79310 Hielo,129.00
Klapki INBLU,119.99,NM228B01 Black,
Klapki REFRESH,179.00,79386 Rojo,119.00
Espadryle TONI PONS,249.00,Breda-A Tan,189.00
Espadryle TOMS,399.00,Esparto 10016307 Umber Brown,199.00
Baleriny MELISSA,349.00,Dora II Ad 33497 Lilac/Metalic Rose 54098,279.00
Klapki DR. BRINKMANN,139.00,700993 Anthrazit 9,99.00
Klapki DR. BRINKMANN,239.00,700155 Marine 05,169.00
Szpilki EVA MINGE,439.00,EM-41-09-001076 101,259.00
Tenisówki BIG STAR,119.00,JJ274066 Black,99.00
Klapki DR. BRINKMANN,159.00,700175 Rot 4,119.00
Klapki IGI&CO,259.00,1694411 Pesca,209.00
Espadryle LOVE MOSCHINO,669.00,JA10192G0EJI0000 Nero,469.00
Sandały CAPRICE,249.00,9-29611-28 Black Nappa 022,189.00
Klapki JENNY FAIRY,119.99,LS5454-05 Beige,
Klapki BETSY,199.00,927016/03-01G White,139.00
Klapki RIEKER,229.99,63498-80VE White,189.00
Sneakersy TOGOSHI,499.00,TG-07-05-000250 108,229.00
Szpilki EVA MINGE,459.00,EM-10-05-000078 801,339.00
Klapki R.POLAŃSKI,399.00,1021 Czerwony Zamsz,249.00
Tenisówki BIG STAR,139.00,JJ274093 Black,99.00
Klapki MELISSA,279.00,Wide Ad 32950 Brown/Tortoise,199.00
Klapki BUFFALO,269.00,Rey BN16012261 Silver,129.00
Klapki ONLY SHOES,169.00,Suede Slip On 15238851 Beige,119.00
Sandały ROBERTO,339.00,2699 Srebro Laser,239.00
Klapki MARCO TOZZI,269.00,2-27247-28 Khaki 725,209.00
Espadryle CALVIN KLEIN,299.00,Espadrille He-Canvas HW0HW00738 Sand VHB,
Buty NIKE,529.00,Air Max Dawn DC4068 001 Black/Summit White,
Espadryle REFRESH,179.00,79701 Aqua,139.00
Lordsy VAGABOND,449.00,Delia 5307-101-02 Off White,
Tenisówki BIG STAR,119.00,JJ274068 Red,99.00
Lordsy GINO ROSSI,299.99,10802 Beige,239.99
Japonki CMP,179.00,Eco Mymosa Wmn Flip FLop 3Q91036 Cipria B251,119.00
Szpilki EVA MINGE,449.00,EM-67-11-001421 113,359.00
Japonki BIRKENSTOCK,209.00,Gizeh 0128221 White,129.00
Lordsy GANT,729.00,Kennedi 24571697 Black G00,
Espadryle KANNA,349.00,21KV21103 Beżowy,169.00
Kapcie KARL LAGERFELD,339.00,KL49005T Black Synth Fur,199.00
Japonki MELISSA,179.00,Sun Long Beach Ad 33528 Beige 54101,139.00
Lordsy TAMARIS,329.00,1-24204-28 Muscat 311,259.00
Szpilki R.POLAŃSKI,389.00,0847 Srebrny Lico,349.00
Espadryle BIG STAR,159.00,JJ274891 Black,109.00
Szpilki R.POLAŃSKI,389.00,0982 Magnolia Zamsz,269.00
Japonki ROXY,59.00,ARJL100663 Msl,
Mokasyny TAMARIS,269.00,1-24205-28 White 100,219.00
Mokasyny NESSI,379.00,22174 Czarny 711,299.00
Espadryle VERO MODA,119.00,Vmkera Espadrille 10245124 Cognac,79.00
Szpilki R.POLAŃSKI,389.00,0982 Beż Lico,309.00
Szpilki SAGAN,299.00,4772 Zielony Lakier,209.00
Szpilki GUESS,719.00,Gabby/Decollete FL8GAB LEA08 BLACK,449.00
Szpilki SAGAN,299.00,4477 Bordowy Welur/Bordowy Lakier,209.00
Szpilki TAMARIS,349.00,1-22414-28 Black 001,279.00
Szpilki EVA MINGE,479.00,EM-44-07-000707 108,299.00
Espadryle BIG STAR,139.00,JJ274864 Nude,119.00
Szpilki OLEKSY,319.00,02 280,219.00
Japonki TOMMY HILFIGER,129.00,Tommy Loves Ny Beach Sandal FW0FW02370 Black 990,89.00
Szpilki R.POLAŃSKI,389.00,0847 Czarny Lico,
Szpilki R.POLAŃSKI,389.00,1223 Niebieski Lico Złoty,349.00
Lordsy SAGAN,329.00,4759 Czarny Lakier,
Espadryle DEEZEE,99.99,WSS20459-02 Blue,
Półbuty LASOCKI,219.99,WYL2963-2Z White,
Półbuty SOLO FEMME,369.00,14101-8D-M28/000-04-00 Brąz,299.00
Lordsy SERGIO BARDI,249.99,WI23-VINA-05SB Light Pink,169.99
Mokasyny FILIPE,299.00,8869 Marinho 5,209.00
Lordsy GINO ROSSI,299.99,E22-28010LM Pink,
Lordsy CAPRICE,279.00,9-24207-28 Black Softnap. 040,219.00
Espadryle JENNY FAIRY,89.99,WSS990-79 Beige,
Japonki COQUI,49.99,1330-100-6200 Pink,
Japonki IPANEMA,79.00,Clas Brasil II Ad 80415 Blue/Blue 22413,55.00
Espadryle JENNY FAIRY,99.99,WSS990-135 Dark Pink,
Espadryle BIG STAR,159.00,HH274377 Brown,89.00
Espadryle CROSS JEANS,139.00,JJ2R4015C Black,99.00
Espadryle BIG STAR,169.00,JJ274395 Black,119.00
Baleriny JENNY FAIRY,89.99,LS5399-05 Pink,69.99
Kapcie GRÜNLAND,149.00,Gaye CI2444-B2 Cipria,129.00
Baleriny JENNY FAIRY,69.99,WSS20595-04 Beige,
Baleriny JENNY FAIRY,79.99,LS4193-44A Black,
Mokasyny GINO ROSSI,299.99,10802 Khaki,239.99
Mokasyny GO SOFT,179.99,WI23-SARA-18 Black,139.99
Mokasyny CLARA BARSON,89.99,WFA1800-1 Navy,
Buty JENNY FAIRY,119.99,WSL19150-12 Black,
Kalosze KURT GEIGER,389.00,Sleet 5342900979 Black,229.00
Buty JENNY FAIRY,119.99,WSL19150-11 Camel,
Trampki BIG STAR,119.00,DD274A232R36 White,99.00
Buty adidas,549.00,RICH MNISI Valerance W GZ3602 Cblack/Truora/Boblue,
Sneakersy KARL LAGERFELD,829.00,KL62530 White Lthr,619.00
Buty adidas,299.00,Superstar J FU7712 Ftwwht/Cblack/Ftwwht,239.00
Buty adidas,549.00,RICH MNISI Superstar Ot Tech W GW0523 Ftwwht/Cblack/Truora,
Buty adidas,499.00,Supernova + W GX0535 Cblack/Acired/Turbo,369.00
Trampki CONVERSE,219.00,Ct Shoreline Slip 537084 White,179.00
Sneakersy NEW BALANCE,349.00,WL574CL2 Beżowy,179.00
Trampki CONVERSE,329.00,All Star Ox M7652C Optical White,249.00
Trampki CONVERSE,299.00,All Star Ox M9166C Black,229.00
Trampki BIG STAR,129.00,V274869 White,99.00
Buty adidas,179.00,Runfalcon 2.0 K FY9495 Cblack/Cwhite/Gresix,139.00
Espadryle CALVIN KLEIN JEANS,299.00,Flatform Espadrilles YW0YW00579 Eggshell BGE,239.00
Trampki CONVERSE,279.00,Ctas Shoreline Knit Slip 565490C White/Black/White,219.00
Trampki CONVERSE,349.00,All Star Hi M9160 Black,309.00
Tenisówki VANS,339.00,Old Skool VN000D3HY28 Black/White,289.00
Tenisówki LAUREN RALPH LAUREN,329.00,Janson II 802804598001 White,
Sneakersy NEW BALANCE,229.00,WE430LN2 Granatowy,
Buty NIKE,759.00,Air Max 96 II DQ0830 Sail/Sail/Light Bone,729.00
Tenisówki PEPE JEANS,209.00,Kenton Basic Woman PLS30990 White 800,149.00
Tenisówki TOMMY JEANS,299.00,Classic Tommy Jeans Sneaker EN0EN00986 White 100,209.00
Trampki BIG STAR,109.00,T274022 101 White,89.00
Espadryle TAMARIS,219.00,1-23789-28 Offwhite 109,149.00
Buty NIKE,489.00,Air Max 90 Ltr (GS) CD6864 001 Black/Black/Black/White,
Buty adidas,179.00,Runfalcon 2.0 K FY9496 Ftwwht/Ftwwht/Grethr,139.00
Tenisówki BIG STAR,129.00,GG274075 Grey,99.00
Sneakersy NEW BALANCE,279.00,GW500SU1 Czarny,199.00
Sandały TAMARIS,239.00,1-29406-28 Black 001,179.00
Tenisówki TOMMY HILFIGER,269.00,Iconic Kesha Slip On FW0FW01656 Whisper White 121,189.00
Trampki BIG STAR,119.00,AA274010 White,99.00
Tenisówki LACOSTE,299.99,Ziane Chunky Bl 2 Cfa 7-37CFA006421G Wht/Wht,219.00
Trampki BIG STAR,119.00,AA274009 Black,99.00
Sneakersy NEW BALANCE,349.00,WL574CS2 Biały Kolorowy,209.00
Trampki CONVERSE,219.00,Ct Shoreline Slip 537081C Black,179.00
Trampki BIG STAR,119.00,DD274A233R37 Grey,99.00
Sneakersy NEW BALANCE,279.00,GW500SN1 Granatowy,199.00
Buty Reebok,249.00,Classic Leather 50151 White,169.00
Trampki CONVERSE,259.00,Ctas Eva Lift Ox 272858C White/Garnet/Navy,209.00
Trampki BIG STAR,119.00,DD274A236R36 Black,99.00
Sandały LASOCKI,129.99,OCE-ARENA-22 Black,
Sandały ALDO,399.00,Asmaa 16194994 001,
Sandały JACK WOLFSKIN,279.99,Lakewood Ride Sandal W 4019041 Rose Quartz,
Trekkingi KEEN,599.00,Targhee III Mid Wp 1023040 Magnet/Atlantic Blue,479.00
Trekkingi CMP,379.00,Rigel Low Wmn Trekking Shoe Wp 3Q54456 Antracite/Off White 76UC,269.00
Trampki BIG STAR,159.00,FF274024 White,99.00
Buty UGG,779.00,W Mini Bailey Button II 1016422 W/Grey,699.00
Trampki CROSS JEANS,129.00,JJ2R4019C Black,89.00
Klapki JENNY FAIRY,89.99,WS5687-06 Beige,
Klapki DR. BRINKMANN,179.00,701485 Rosa 42,129.00
Trekkingi CMP,399.00,Rigel Low Trekking Shoes Wp 3Q54456 Grey/Fuxia/Ice 103Q,269.00
Trekkingi CMP,379.00,Hapsu Wmn Nordic Walking Shoe 30Q9606 Nero/Gloss 84UE,269.00
Espadryle DEEZEE,89.99,WSESP07 Pink,
Baleriny DUNE LONDON,349.00,Hartlyn 0075500620037586 Black,279.00
Sandały GIOSEPPO,199.00,Ossian 59811 Black,129.00
Szpilki EVA LONGORIA,429.00,EL-38-05-000637 913,339.00
Mokasyny TAMARIS,339.00,1-24613-28 Navy Nubuc 827,
Kapcie CHAMPION,129.00,Slide Sleepover Script S11378-CH-KK001 Nbk,109.00
Baleriny ECCO,549.00,Anine 20800311001 Black,
Klapki adidas,169.00,adilette Comfort GZ2913 Core Black/Wonder White/Core Black,139.00
Sneakersy BIG STAR,249.00,II274297 Grey,129.00
Baleriny GEOX,329.00,D Charlene C D16Y7C 08554 C4002 Navy,259.00
Tenisówki BIG STAR,129.00,HH274007 White,109.00
Baleriny UNISA,389.00,Adane 22 Ks Limone,269.00
Trampki LEE COOPER,119.00,LCW-22-31-0879LB Black,99.00
Kapcie EMU AUSTRALIA,439.00,Wobbegong W12316 Charcoal,309.00
Sandały GIOSEPPO,199.00,Hedland 65312 Black,139.00
Sandały 4F,129.00,D4L21-SAD201 27S,89.00
Japonki TOMMY HILFIGER,229.00,Leather Footbed Beach Sandal FW0FW05677 Ivory YBI,159.00
Baleriny MARC O'POLO,559.00,202 16983002 101 Black 990,
Baleriny GEOX,499.00,D Pheby 20 C D16PYC 00085 C9999 Black,349.00
Trampki CONVERSE,239.00,Ctas Shoreline Slip 572713C Bright Madder/White/Black,169.00
Sandały REFRESH,179.00,72658 Camel,109.00
Szpilki ALDO,399.00,Mahara 16196566 001,279.00
Sandały JENNY FAIRY,89.99,WFA1922-2 White,
Sandały GIOSEPPO,279.00,Albany 63037 Black,149.00
Sandały BETSY,199.00,927347/02-05 Black,
Baleriny GEOX,309.00,J Plie'B J5455B 08502 C9999 D Black,219.00
Kalosze TOMMY HILFIGER,489.00,Th Chelsea Rainboot FW0FW06127 Black BDS,349.00
Espadryle BIG STAR,109.00,HH274476 Red,79.00
Sandały REFRESH,179.00,79809 Negro,119.00
Buty UGG,849.00,W Classic Mini Cow Print 1123353 Che,599.00
Sandały IPANEMA,99.00,Class Shape Fem 83248 Black/Black/Green 22396,69.00
Baleriny MELISSA,349.00,Aura+ Jason Wu Ad 32964 Beige/Black 52647,239.00
Buty EMU AUSTRALIA,439.00,Brumby Lo Teens T10773 Charcoal,
Szpilki R.POLAŃSKI,389.00,0808 Czerwony Lico,309.00
Espadryle DEEZEE,89.99,WSS20375-50 White,
Szpilki RAGE AGE,469.00,RA-18-05-000337 101,
Baleriny CAPRICE,229.00,9-22105-28 Desert Comb 432,179.00
Tenisówki BIG STAR,119.00,FF274168 White,99.00
Trampki BIG STAR,119.00,DD274339 Red,99.00
Sandały IPANEMA,229.00,Nuvea Papete Fem 26709 Beige/Black/Pink,
Sandały INUOVO,299.00,123031 Gold,
Sandały HOFF,499.00,Fiji 12208003 Blue,
Sneakersy TAMARIS,469.00,1-23713-28 Ivory Comb 430,
Sandały EKSBUT,399.00,3D-6409-L51 Beżowy,
Buty adidas,269.00,Ny 90 J GZ1620 Ftwwht/Ftwwht/Greone,
Buty Reebok,499.00,Nano X1 Tr Adventure H67963 Gable Grey / Bright Cobalt / Pursuit Pink,349.00
Sandały MELISSA,319.00,Bikini Platform Ad 33430 Black/Transparent 52293,289.00
Sandały TAMARIS,389.00,1-28227-28 White Struct. 110,
Sandały REMONTE,299.00,D6454-90 Metallic,269.00
Klapki QUAZI,149.99,WS5687-10 Beige,
Sandały EKSBUT,399.00,3D-6426-L51 Beżowy,
Klapki MELISSA,399.00,Beach Slide Next Gen + 33398 Grey 50760,359.00
Sandały VERSACE JEANS COUTURE,589.00,72VA3SX4 ZS196 G30,
Buty NIKE,799.00,Zoom X Vista Grind BQ4800 001 Off Noir/White/Black,
Buty NIKE,349.00,Quest 3 Shield CQ8893 010 Black/Fire Pink/Obsidian Mist,
Sandały EVA MINGE,549.00,EM-58-11-001384 318,
Trekkingi SALOMON,349.00,Xa Pro V8 Cswp J 416144 09 W0 Earth Red/Black/Almond Cream,
Sneakersy PUMA,189.99,Up Jr 373600 22 White/Victoria Blue/Gray,
Tenisówki VANS,399.00,Old Skool Tape VN0A54F4AS11 (Eco Theory) Eco Positivi,
Tenisówki VANS,279.00,Classic Slip-On VN000XG8ATD1 (Pastel Block) Multi/True,
Baleriny MELISSA,349.00,Doll V Ad 32772 Beige/Beige 52314,309.00
Baleriny MELISSA,439.00,Pointy + Jason Wu Ad 32635 Blue/Pink 51460,399.00
Klapki LIU JO,469.00,Cecy 08 SA2287 EX131 Sand/Black S1816,
Klapki LIU JO,469.00,Cecy 08 SA2287 EX131 White/Skin S1170,
Espadryle INUOVO,399.00,117046 Gold,
Sandały HOFF,499.00,Palawan 12208001 Yellow,
Klapki EVA MINGE,499.00,EM-45-11-001456 101,
Sandały SCHOLL,449.00,Promenade 2 Bands MF30018 1853 350 Rose Gold,
Sneakersy TAMARIS,389.00,1-23758-28 Lt.Grey Comb 248,
Klapki MELISSA,319.00,Beach Slide Next Gen F 33524 Blue Insignia/Gl Silver 13909,289.00
Sneakersy PINKO,1 119.00,Rouen 1 Bubble Snekaer . PE 22 BLKS1 1H210L Y84Q Grigio Chi ID1,
Buty NIKE,529.00,Air Zoom Pegasus 38 CW7358 601 Champagne/White/Barely Rose,
Klapki MELISSA,279.00,Beach Slide Ad 31754 Green 01660,249.00
Półbuty LIBERO,329.00,2495 19,
Sandały KEEN,429.00,Whisper 1026250 Blue Depths/Brigth Cobalt,
Sneakersy PEPE JEANS,339.00,Woking Cord PLS31312 Light Orange 129,
Klapki LORETTA VITALE,239.00,1008 Black,
Klapki FREEDOM MOSES,219.00,Fancy Palmetto Stone,
Japonki PEPE JEANS,99.00,Rake Preppy PLS70114 Black 999,
Półbuty EKSBUT,399.00,2D-6380-I72 Czarny,
Klapki LASOCKI,129.99,MI08-CONRAD-152 Brown,
Klapki EVA MINGE,469.00,EM-45-11-001456 111,
Sneakersy BUFFALO LONDON,879.00,BN15332701 Lavendel,
Klapki TAMARIS,389.00,1-27202-28 White Crystal 180,
Klapki LIU JO,469.00,Cecy 08 SA2287 EX131 Pink/Fuxia S1677,
Buty NIKE,399.00,Quest 3 CD0232 005 Black/Barely Volt/Glacier Ice,
Klapki MELISSA,319.00,Beach Slide Next Gen F 33524 Beige/Gold 13796,289.00
Klapki MELISSA,279.00,Beach Slide Ad 31754 Pink/Yellow AA923,249.00
Klapki BAGHEERA,229.00,Freetime 86494-2 C2608 Navy/White,
Kapcie PANTO FINO,119.00,II267046 Zielony/Beż,99.00
Baleriny JENNY FAIRY,69.99,WSS20596-01 Black,
Baleriny CAPRICE,229.00,9-22105-28 Ocean Comb 880,159.00
Baleriny JENNY FAIRY,69.99,WSS20596-01 Beige,
Baleriny BASSANO,69.99,WFA1636-7 Black,54.99
Lordsy BASSANO,69.99,WFA1663-1 Pink,
Kapcie NUVOLA,119.00,Classic UNCLAG683 Malaga,99.00
Kapcie NUVOLA,149.00,Classic Metallic UNCLMETL704 Shiny Black,129.00
Kapcie NUVOLA,119.00,Classic UNCLAG12 Red,
Kapcie SANITAL-FLEX,109.00,Z25685 Gris,89.00
Lordsy BALDOWSKI,529.00,D03770-8321-003 Skóra Czarna,369.00
Półbuty BALDOWSKI,499.00,D03868-4941-004 Skóra Czarna,399.00
Lordsy NAOMI,179.99,WYL2891-2 Pink,119.99
Półbuty R.POLAŃSKI,389.00,1210 A-362,329.00
Półbuty SZYDŁOWSKI,329.00,2635 19,259.00
Lordsy LASOCKI,229.99,MOKA-01 Khaki,137.97
Lordsy CAPRICE,279.00,9-24202-27 Muscat Suede 304,239.00
Lordsy KARINO,399.00,3903/090-P Czarny/Lakier,339.00
Mokasyny NESSI,319.00,17130 Niebieski 192,219.00
Kalosze TRETORN,419.00,Chelsea Classic 47337010 Black,339.00
Kalosze TRETORN,339.00,Nicole 47265111 Black,269.00
Półbuty HÖGL,549.00,0-125000 Nude 1800,399.00
Lordsy TAMARIS,319.00,1-24208-28 Light Grey 204,
Lordsy GINO ROSSI,279.99,22SS27 White,
Mokasyny FILIPE,279.00,10679 Rosa,219.00
Lordsy FILIPE,329.00,10648 Marinhho,259.00
Lordsy GINO ROSSI,279.99,E22-28012LGS Black,189.99
Lordsy SIMEN,389.00,5161A N.Zielony,269.00
Lordsy SERGIO BARDI,269.99,RST-ZAXA-11SB Black,209.99
Lordsy GINO ROSSI,299.99,7310 Baby Blue,239.99
Kapcie PANTO FINO,79.00,II267009 Czarny/Czerwony,49.00
Kalosze KAMIK,449.00,Abigail NK2183 Black/White,359.00
Półbuty R.POLAŃSKI,389.00,1210 Biała Viva,309.00
Kapcie CALVIN KLEIN,269.00,Slipper Mule Fur HW0HW00636 Desert Rose TBP,159.00
Półbuty BALDACCINI,339.00,1682500 Czarny Lico,269.00
Półbuty CAPRICE,269.00,9-22513-28 Navy Perlato 807,219.00
Buty JENNY FAIRY,119.99,WSL19150-12 Brown,
Półbuty SAGAN,319.00,4624 Beżowy Lakier/Cipra Welur,
Półbuty SAGAN,319.00,4018 Czarny Lakier,259.00
Mokasyny FILIPE,279.00,10679 Cinza 1,199.00
Mokasyny FILIPE,289.00,5166 Branco,229.00
Półbuty BALDOWSKI,519.00,D03270-4330-001 Nappa Czarna,419.00
Mokasyny BIG STAR,209.00,JJ274654 Black,169.00
Półbuty UNISA,469.00,Joyel Vu Fragola,379.00
Półbuty LASOCKI,219.99,WYL2963-1Z Red,
